episode 763 completed, total reward = -150
episode 764 completed, total reward = 450
episode 765 completed, total reward = -150
episode 766 completed, total reward = 425
episode 767 completed, total reward = 380
episode 768 completed, total reward = 405
episode 769 completed, total reward = 420
episode 770 completed, total reward = 425
episode 771 completed, total reward = 435
episode 772 completed, total reward = -150
episode 773 completed, total reward = 410
episode 774 completed, total reward = 410
episode 775 completed, total reward = 450
episode 776 completed, total reward = 445
episode 777 completed, total reward = -150
episode 778 completed, total reward = 440
episode 779 completed, total reward = 455
episode 780 completed, total reward = -150
episode 781 completed, total reward = -150
episode 782 completed, total reward = 440
episode 783 completed, total reward = 405
episode 784 completed, total reward = 430
episode 785 completed, total reward = -150
episode 786 completed, total reward = 370
episode 787 completed, total reward = 440
episode 788 completed, total reward = 390
episode 789 completed, total reward = 355
episode 790 completed, total reward = 400
episode 791 completed, total reward = 380
episode 792 completed, total reward = 435
episode 793 completed, total reward = -150
episode 794 completed, total reward = 400
episode 795 completed, total reward = 365
episode 796 completed, total reward = 430
episode 797 completed, total reward = 410
episode 798 completed, total reward = 435
episode 799 completed, total reward = 440
episode 800 completed, total reward = 365
episode 801 completed, total reward = 425
episode 802 completed, total reward = 460
episode 803 completed, total reward = 450
episode 804 completed, total reward = 440
episode 805 completed, total reward = 415
episode 806 completed, total reward = 405
episode 807 completed, total reward = 410
episode 808 completed, total reward = 440
episode 809 completed, total reward = 455
episode 810 completed, total reward = -150
episode 811 completed, total reward = 445
episode 812 completed, total reward = -150
episode 813 completed, total reward = 450
episode 814 completed, total reward = -150
episode 815 completed, total reward = 360
episode 816 completed, total reward = 430
episode 817 completed, total reward = 390
episode 818 completed, total reward = 415
episode 819 completed, total reward = 365
episode 820 completed, total reward = 420
episode 821 completed, total reward = 405
episode 822 completed, total reward = 370
episode 823 completed, total reward = 370
episode 824 completed, total reward = -150
episode 825 completed, total reward = 420
episode 826 completed, total reward = 400
episode 827 completed, total reward = 455
episode 828 completed, total reward = 375
episode 829 completed, total reward = -150
episode 830 completed, total reward = 395
episode 831 completed, total reward = 445
episode 832 completed, total reward = 380
episode 833 completed, total reward = 440
episode 834 completed, total reward = 380
episode 835 completed, total reward = 400
episode 836 completed, total reward = 375
episode 837 completed, total reward = 400
episode 838 completed, total reward = 395
episode 839 completed, total reward = 435
episode 840 completed, total reward = -150
episode 841 completed, total reward = -150
episode 842 completed, total reward = -150
episode 843 completed, total reward = 420
episode 844 completed, total reward = 445
episode 845 completed, total reward = 455
episode 846 completed, total reward = -150
episode 847 completed, total reward = 385
episode 848 completed, total reward = 445
episode 849 completed, total reward = 470
episode 850 completed, total reward = 385
episode 851 completed, total reward = 385
episode 852 completed, total reward = -150
episode 853 completed, total reward = 455
episode 854 completed, total reward = 420
episode 855 completed, total reward = 355
episode 856 completed, total reward = 400
episode 857 completed, total reward = -150
episode 858 completed, total reward = 410
episode 859 completed, total reward = 380
episode 860 completed, total reward = 450
episode 861 completed, total reward = 445
episode 862 completed, total reward = -150
episode 863 completed, total reward = 390
episode 864 completed, total reward = 465
episode 865 completed, total reward = 420
episode 866 completed, total reward = 405
episode 867 completed, total reward = 405
episode 868 completed, total reward = 375
episode 869 completed, total reward = 430
episode 870 completed, total reward = 455
episode 871 completed, total reward = 400
episode 872 completed, total reward = 420
episode 873 completed, total reward = 385
episode 874 completed, total reward = 420
episode 875 completed, total reward = 410
episode 876 completed, total reward = 425
episode 877 completed, total reward = 425
episode 878 completed, total reward = 390
episode 879 completed, total reward = 405
episode 880 completed, total reward = 410
episode 881 completed, total reward = 405
episode 882 completed, total reward = 475
episode 883 completed, total reward = 450
episode 884 completed, total reward = 415
episode 885 completed, total reward = 400
episode 886 completed, total reward = 430
episode 887 completed, total reward = 460
episode 888 completed, total reward = 445
episode 889 completed, total reward = 395
episode 890 completed, total reward = 415
episode 891 completed, total reward = 435
episode 892 completed, total reward = 410
episode 893 completed, total reward = 400
episode 894 completed, total reward = 435
episode 895 completed, total reward = 420
episode 896 completed, total reward = 400
episode 897 completed, total reward = -150
episode 898 completed, total reward = 450
episode 899 completed, total reward = 440
episode 900 completed, total reward = 435
episode 901 completed, total reward = 465
episode 902 completed, total reward = 435
episode 903 completed, total reward = 460
episode 904 completed, total reward = 430
episode 905 completed, total reward = -150
episode 906 completed, total reward = 370
episode 907 completed, total reward = 450
episode 908 completed, total reward = 430
episode 909 completed, total reward = 415
episode 910 completed, total reward = 370
episode 911 completed, total reward = 425
episode 912 completed, total reward = 455
episode 913 completed, total reward = -150
episode 914 completed, total reward = 400
episode 915 completed, total reward = 360
episode 916 completed, total reward = 415
episode 917 completed, total reward = 380
episode 918 completed, total reward = -150
episode 919 completed, total reward = 365
episode 920 completed, total reward = -150
episode 921 completed, total reward = 375
episode 922 completed, total reward = 435
episode 923 completed, total reward = 445
episode 924 completed, total reward = -150
episode 925 completed, total reward = 380
episode 926 completed, total reward = 360
episode 927 completed, total reward = 355
episode 928 completed, total reward = -150
episode 929 completed, total reward = 460
episode 930 completed, total reward = 380
episode 931 completed, total reward = 415
episode 932 completed, total reward = 475
